timestamp,Эхо Москвы
2020-10-19 06:05:06.290158510,671
2020-10-19 06:05:11.342378616,683
2020-10-19 06:05:16.405180454,689
2020-10-19 06:05:21.474934816,644
2020-10-19 06:05:26.525062798,546
2020-10-19 06:05:31.576388121,477
2020-10-19 06:05:36.631111860,472
2020-10-19 06:05:41.690051556,533
2020-10-19 06:05:46.743304491,584
2020-10-19 06:05:51.796667099,630
2020-10-19 06:05:56.850554228,685
2020-10-19 06:06:01.904814005,732
2020-10-19 06:06:06.960204601,771
2020-10-19 06:06:12.012812614,811
2020-10-19 06:06:17.069284916,849
2020-10-19 06:06:22.121943474,896
2020-10-19 06:06:27.174591303,943
2020-10-19 06:06:32.234260559,987
2020-10-19 06:06:37.300265074,1026
2020-10-19 06:06:42.361182928,1060
2020-10-19 06:06:47.411744595,1099
2020-10-19 06:06:52.471438408,1143
2020-10-19 06:06:57.521975994,1215
2020-10-19 06:07:02.570713282,1252
2020-10-19 06:07:07.632943869,1290
2020-10-19 06:07:12.681398153,1326
2020-10-19 06:07:17.730814219,1326
2020-10-19 06:07:22.781353951,1347
2020-10-19 06:07:27.834949493,1407
2020-10-19 06:07:32.886228800,1434
2020-10-19 06:07:37.963656425,1466
2020-10-19 06:07:43.017036915,1499
2020-10-19 06:07:48.069449902,1528
2020-10-19 06:07:53.119318247,1556
2020-10-19 06:07:58.177708626,1580
2020-10-19 06:08:03.229819536,1608
2020-10-19 06:08:08.276226521,1638
2020-10-19 06:08:13.328461409,1667
2020-10-19 06:08:18.378766298,1697
2020-10-19 06:08:23.432472944,1719
2020-10-19 06:08:28.494273186,1756
2020-10-19 06:08:33.551707506,1786
2020-10-19 06:08:38.605446577,1806
2020-10-19 06:08:43.666660070,1829
2020-10-19 06:08:48.727183580,1856
2020-10-19 06:08:53.776524782,1856
2020-10-19 06:08:58.828966379,1915
2020-10-19 06:09:03.888858080,1941
2020-10-19 06:09:08.946513176,1971
2020-10-19 06:09:13.995674133,2004
2020-10-19 06:09:19.047416210,2039
2020-10-19 06:09:24.099014044,2066
2020-10-19 06:09:29.149504423,2095
2020-10-19 06:09:34.208845615,2095
2020-10-19 06:09:39.263439178,2137
2020-10-19 06:09:44.318859100,2156
2020-10-19 06:09:49.370085001,2173
2020-10-19 06:09:54.422478437,2189
2020-10-19 06:09:59.480105162,2228
2020-10-19 06:10:04.533570766,2267
2020-10-19 06:10:09.586143494,2286
2020-10-19 06:10:14.642576218,2311
2020-10-19 06:10:19.699736834,2334
2020-10-19 06:10:24.747046232,2356
2020-10-19 06:10:29.801416159,2384
2020-10-19 06:10:34.849812031,2403
2020-10-19 06:10:39.900892019,2426
2020-10-19 06:10:44.954701900,2459
2020-10-19 06:10:50.011631966,2489
2020-10-19 06:10:55.099600077,2508
2020-10-19 06:11:00.154192924,2528
2020-10-19 06:11:05.207453489,2549
2020-10-19 06:11:10.265694857,2569
2020-10-19 06:11:15.317010880,2588
2020-10-19 06:11:20.387773752,2610
2020-10-19 06:11:25.441159487,2631
2020-10-19 06:11:30.498976946,2649
2020-10-19 06:11:35.563656092,2669
2020-10-19 06:11:40.616050243,2692
2020-10-19 06:11:45.671757936,2701
2020-10-19 06:11:50.724406958,2726
2020-10-19 06:11:55.778630495,2746
2020-10-19 06:12:00.830933094,2760
2020-10-19 06:12:05.894621372,2790
2020-10-19 06:12:10.948466778,2812
2020-10-19 06:12:16.004248857,2825
2020-10-19 06:12:21.056398392,2852
2020-10-19 06:12:26.117585897,2881
2020-10-19 06:12:31.171367645,2901
2020-10-19 06:12:36.221583843,2929
2020-10-19 06:12:41.276983261,2960
2020-10-19 06:12:46.329436541,2976
2020-10-19 06:12:51.382260561,2988
2020-10-19 06:12:56.435190439,3017
2020-10-19 06:13:01.490470409,3037
2020-10-19 06:13:06.548175573,3056
2020-10-19 06:13:11.599674702,3077
2020-10-19 06:13:16.651505470,3103
2020-10-19 06:13:21.709837437,3119
2020-10-19 06:13:26.766593933,3134
2020-10-19 06:13:31.821511507,3154
2020-10-19 06:13:36.882611990,3172
2020-10-19 06:13:41.940662384,3180
2020-10-19 06:13:46.992769003,3188
2020-10-19 06:13:52.055457115,3198
2020-10-19 06:13:57.107898712,3235
2020-10-19 06:14:02.157599926,3235
2020-10-19 06:14:07.211141109,3270
