timestamp,Навальный LIVE,Соловьёв LIVE,Эхо Москвы
2020-10-01 18:07:25.603857756,,,689.0
2020-10-01 18:07:33.943294525,,,623.0
2020-10-01 18:07:39.034237385,,,673.0
2020-10-01 18:07:44.111252546,,,783.0
2020-10-01 18:07:49.213623047,,,863.0
2020-10-01 18:07:54.298349380,,,916.0
2020-10-01 18:07:59.391291142,,,935.0
2020-10-01 18:08:04.473607540,,,945.0
2020-10-01 18:08:09.532965899,,,948.0
2020-10-01 18:08:14.624126673,,,941.0
2020-10-01 18:08:19.697371483,,,959.0
2020-10-01 18:08:24.783522367,,,978.0
2020-10-01 18:08:31.206566811,,,996.0
2020-10-01 18:08:36.282602549,,,1027.0
2020-10-01 18:08:41.367165089,,,1056.0
2020-10-01 18:08:46.446498394,,,1090.0
2020-10-01 18:08:51.519329308,,,1125.0
2020-10-01 18:08:56.594947577,,,1150.0
2020-10-01 18:09:01.687897444,,,1220.0
2020-10-01 18:09:06.774317503,,,1244.0
2020-10-01 18:09:15.818790913,,,1280.0
2020-10-01 18:09:20.894523144,,,1318.0
2020-10-01 18:09:25.973651886,,,1341.0
2020-10-01 18:09:31.048971176,,,1372.0
2020-10-01 18:09:38.176586628,,,1423.0
2020-10-01 18:09:43.254310845,,,1452.0
2020-10-01 18:09:48.836277485,,,1472.0
2020-10-01 18:09:56.455450773,,,1496.0
2020-10-01 18:10:01.526888609,,,1523.0
2020-10-01 18:10:06.600347996,,,1539.0
2020-10-01 18:10:11.724033594,,,1559.0
2020-10-01 18:10:16.799152613,,,1598.0
2020-10-01 18:10:21.956288099,,,1632.0
2020-10-01 18:10:27.031070709,,,1678.0
2020-10-01 18:10:32.104192972,,,1704.0
2020-10-01 18:10:37.181758881,,,1726.0
2020-10-01 18:10:42.270345211,,,1749.0
2020-10-01 18:10:47.353041410,,,1776.0
2020-10-01 18:10:54.958624363,,,1794.0
2020-10-01 18:11:00.038106441,,,1823.0
2020-10-01 18:11:05.115824938,,,1857.0
2020-10-01 18:11:10.198792696,,,1875.0
2020-10-01 18:11:15.310020208,,,1901.0
2020-10-01 18:11:20.375721455,,,1933.0
2020-10-01 18:11:25.449040413,,,1953.0
2020-10-01 18:11:30.540897608,,,1985.0
2020-10-01 18:11:35.648076534,,,2018.0
2020-10-01 18:11:40.722423315,,,2050.0
2020-10-01 18:11:45.803022146,,,2061.0
2020-10-01 18:11:50.876845598,,,2085.0
2020-10-01 18:11:56.617021084,,,2096.0
2020-10-01 18:12:03.297504425,,,2129.0
2020-10-01 18:12:08.385157347,,,2148.0
2020-10-01 18:12:13.477556467,,,2176.0
2020-10-01 18:12:18.551663160,,,2215.0
2020-10-01 18:12:23.626335859,,,2244.0
2020-10-01 18:12:29.833044767,,,2271.0
2020-10-01 18:12:34.901854992,,,2291.0
2020-10-01 18:12:39.967350245,,,2304.0
2020-10-01 18:12:45.043078423,,,2335.0
2020-10-01 18:12:50.118799210,,,2343.0
