timestamp,Навальный LIVE,Соловьёв LIVE,Эхо Москвы
2020-11-17 06:09:53.298929453,,7577.0,
2020-11-17 06:09:58.369561434,,7711.0,
2020-11-17 06:10:03.437874794,,7832.0,
2020-11-17 06:10:08.500135660,,7973.0,
2020-11-17 06:10:13.561894655,,8089.0,
2020-11-17 06:10:18.634490490,,8207.0,
2020-11-17 06:10:23.706257105,,8301.0,
2020-11-17 06:10:28.778155565,,8411.0,
2020-11-17 06:10:33.857808828,,8512.0,
2020-11-17 06:10:38.918394804,,8648.0,
2020-11-17 06:10:43.997202396,,8754.0,
2020-11-17 06:10:49.073460579,,8869.0,
2020-11-17 06:10:54.157915115,,8968.0,
2020-11-17 06:10:59.232525826,,9058.0,
2020-11-17 06:11:04.303750515,,9166.0,
2020-11-17 06:11:09.376406908,,9283.0,
2020-11-17 06:11:14.444659472,,9380.0,
2020-11-17 06:11:19.517394781,,9463.0,
2020-11-17 06:11:24.594886541,,9550.0,
2020-11-17 06:11:29.665578842,,9647.0,
2020-11-17 06:11:34.734342813,,9744.0,
2020-11-17 06:11:39.809959888,,9827.0,
2020-11-17 06:11:44.872929335,,9907.0,
2020-11-17 06:11:49.952635765,,9995.0,
2020-11-17 06:11:55.020698786,,10091.0,
2020-11-17 06:12:00.101452589,,10195.0,
2020-11-17 06:12:05.172905207,,10263.0,
2020-11-17 06:12:10.236037970,,10343.0,
2020-11-17 06:12:15.308719873,,10397.0,
2020-11-17 06:12:20.379456758,,10444.0,
2020-11-17 06:12:25.453308105,,10474.0,
2020-11-17 06:12:30.528114796,,10515.0,
2020-11-17 06:12:35.593016386,,10558.0,
2020-11-17 06:12:40.681685448,,10611.0,
2020-11-17 06:12:45.760491133,,10687.0,
2020-11-17 06:12:50.834033489,,10731.0,
2020-11-17 06:12:55.900138140,,10755.0,
2020-11-17 06:13:00.969415903,,10822.0,
2020-11-17 06:13:06.045096397,,10855.0,
2020-11-17 06:13:11.117449045,,10908.0,
2020-11-17 06:13:16.187152624,,10948.0,
2020-11-17 06:13:21.255318641,,10969.0,
2020-11-17 06:13:26.330768824,,11022.0,
2020-11-17 06:13:31.403175831,,11078.0,
2020-11-17 06:13:36.478227377,,11105.0,
2020-11-17 06:13:41.554781914,,11138.0,
2020-11-17 06:13:46.619512558,,11163.0,
2020-11-17 06:13:51.690689325,,11230.0,
2020-11-17 06:13:56.758269787,,11230.0,
2020-11-17 06:14:01.818199158,,11277.0,
2020-11-17 06:14:06.889014482,,11316.0,
2020-11-17 06:14:11.952263117,,11382.0,
2020-11-17 06:14:17.025239468,,11382.0,
2020-11-17 06:14:22.091595411,,11454.0,
2020-11-17 06:14:27.150823832,,11471.0,
2020-11-17 06:14:32.218420029,,11471.0,
2020-11-17 06:14:37.285250902,,11568.0,
2020-11-17 06:14:42.351051092,,11607.0,
2020-11-17 06:14:47.430835485,,11639.0,
2020-11-17 06:14:52.506849051,,11657.0,
2020-11-17 06:14:57.577363968,,11691.0,
2020-11-17 06:15:02.650451660,,11711.0,
2020-11-17 06:15:07.732331514,,11711.0,
2020-11-17 06:15:12.805037975,,11760.0,
2020-11-17 06:15:17.874617100,,11780.0,
2020-11-17 06:15:22.957159519,,11807.0,
2020-11-17 06:15:28.027590990,,11835.0,
2020-11-17 06:15:33.106623411,,11852.0,
2020-11-17 06:15:38.160160065,,11874.0,
2020-11-17 06:15:43.235282183,,11899.0,
2020-11-17 06:15:48.308693647,,11948.0,
2020-11-17 06:15:53.380170584,,11982.0,
2020-11-17 06:15:58.454641104,,12016.0,
2020-11-17 06:16:03.524309873,,12033.0,
2020-11-17 06:16:08.598055363,,12088.0,
2020-11-17 06:16:13.673505306,,12108.0,
