timestamp,Соловьёв LIVE,Телеканал Дождь,Эхо Москвы
2020-11-03 06:00:12.886278868,544.0,,
2020-11-03 06:00:17.944131136,567.0,,
2020-11-03 06:00:23.000784636,596.0,,
2020-11-03 06:00:28.052177429,642.0,,
2020-11-03 06:00:33.107742548,681.0,,
2020-11-03 06:00:38.167600632,712.0,,
2020-11-03 06:00:43.231032133,735.0,,
2020-11-03 06:00:48.286863565,783.0,,
2020-11-03 06:00:53.351866484,827.0,,
2020-11-03 06:00:58.410521269,865.0,,
2020-11-03 06:01:03.474047422,908.0,,
2020-11-03 06:01:08.543935061,961.0,,
2020-11-03 06:01:13.608376503,997.0,,
2020-11-03 06:01:18.684097052,1037.0,,
2020-11-03 06:01:23.746105194,1088.0,,
2020-11-03 06:01:28.805672169,1126.0,,
2020-11-03 06:01:33.868092775,1158.0,,
2020-11-03 06:01:38.920322657,1200.0,,
2020-11-03 06:01:43.975507975,1251.0,,
2020-11-03 06:01:49.036183834,1302.0,,
2020-11-03 06:01:54.093750000,1351.0,,
2020-11-03 06:01:59.151000023,1399.0,,
2020-11-03 06:02:04.219682932,1452.0,,
2020-11-03 06:02:09.276873827,1494.0,,
2020-11-03 06:02:14.357009649,1536.0,,
2020-11-03 06:02:19.412760496,1578.0,,
2020-11-03 06:02:24.477387190,1637.0,,
2020-11-03 06:02:29.534034729,1668.0,,
2020-11-03 06:02:34.590452433,1694.0,,
2020-11-03 06:02:39.645011425,1742.0,,
2020-11-03 06:02:44.708120584,1784.0,,
2020-11-03 06:02:49.765550852,1830.0,,
2020-11-03 06:02:54.821381330,1883.0,,
2020-11-03 06:02:59.886947393,1924.0,,
2020-11-03 06:03:04.941597223,1954.0,,
2020-11-03 06:03:09.995346069,1988.0,,
2020-11-03 06:03:15.053488016,2025.0,,
2020-11-03 06:03:20.121694565,2064.0,,
2020-11-03 06:03:25.179241419,2104.0,,
2020-11-03 06:03:30.252405167,2143.0,,
2020-11-03 06:03:35.307994604,2185.0,,
