timestamp,Эхо Москвы
2021-01-02 11:06:12.707993269,1206
2021-01-02 11:06:17.835729599,1261
2021-01-02 11:06:22.912489176,1294
2021-01-02 11:06:27.976106167,1324
2021-01-02 11:06:33.048642874,1361
2021-01-02 11:06:38.160218000,1396
2021-01-02 11:06:43.236127853,1436
2021-01-02 11:06:48.338099480,1474
2021-01-02 11:06:53.409759283,1512
2021-01-02 11:06:58.511901140,1556
2021-01-02 11:07:08.647948027,1616
2021-01-02 11:07:13.705060720,1647
2021-01-02 11:07:18.818778515,1676
2021-01-02 11:07:23.891816378,1728
2021-01-02 11:07:29.002091408,1753
2021-01-02 11:07:34.071355581,1779
2021-01-02 11:07:39.171619892,1818
2021-01-02 11:07:44.233555317,1861
2021-01-02 11:07:49.342785835,1897
2021-01-02 11:07:54.410998106,1930
2021-01-02 11:07:59.473581076,1967
2021-01-02 11:08:04.546073198,1985
2021-01-02 11:08:09.641732931,2014
2021-01-02 11:08:19.793996096,2071
2021-01-02 11:08:24.904071331,2098
2021-01-02 11:08:30.012245417,2132
2021-01-02 11:08:35.091845751,2171
2021-01-02 11:08:40.205786228,2210
2021-01-02 11:08:45.307942152,2246
2021-01-02 11:08:50.410379410,2284
2021-01-02 11:08:55.487575293,2317
2021-01-02 11:09:00.603168249,2343
2021-01-02 11:09:10.774969816,2424
2021-01-02 11:09:15.846082449,2462
2021-01-02 11:09:20.956663370,2496
2021-01-02 11:09:31.126728772,2561
2021-01-02 11:09:36.228128910,2597
2021-01-02 11:09:41.292725563,2635
2021-01-02 11:09:46.362490177,2713
2021-01-02 11:09:51.467679024,2747
2021-01-02 11:09:56.532881260,2747
2021-01-02 11:10:01.652662754,2822
2021-01-02 11:10:06.763131142,2862
2021-01-02 11:10:11.832865238,2897
2021-01-02 11:10:16.948533535,2932
2021-01-02 11:10:22.051760912,2972
2021-01-02 11:10:27.120924234,2996
2021-01-02 11:10:32.226123810,3013
2021-01-02 11:10:42.361645222,3075
2021-01-02 11:10:47.620365381,3075
2021-01-02 11:10:52.746739388,3141
2021-01-02 11:11:02.935055494,3198
2021-01-02 11:11:08.041649342,3232
2021-01-02 11:11:13.150469780,3232
2021-01-02 11:11:18.215603828,3283
2021-01-02 11:11:23.318201065,3313
2021-01-02 11:11:28.419979334,3353
2021-01-02 11:11:33.529778242,3382
2021-01-02 11:11:48.779680967,3477
2021-01-02 11:11:53.889037609,3506
2021-01-02 11:11:58.955587387,3541
2021-01-02 11:12:04.023799896,3563
2021-01-02 11:12:09.128584862,3580
2021-01-02 11:12:14.233532906,3604
2021-01-02 11:12:19.336569786,3627
2021-01-02 11:12:29.488299370,3688
2021-01-02 11:12:39.635269642,3742
2021-01-02 11:12:44.746440411,3789
2021-01-02 11:12:49.855677843,3823
2021-01-02 11:12:54.966526747,3846
2021-01-02 11:13:05.150097370,3900
2021-01-02 11:13:10.259497166,3933
2021-01-02 11:13:20.406747580,3980
