timestamp,Эхо Москвы
2020-12-06 18:01:09.011905193,396
2020-12-06 18:01:14.120199203,379
2020-12-06 18:01:19.197195768,431
2020-12-06 18:01:24.265607357,476
2020-12-06 18:01:29.350178003,517
2020-12-06 18:01:34.427745581,578
2020-12-06 18:01:39.525293827,637
2020-12-06 18:01:44.644231081,693
2020-12-06 18:01:49.724309683,741
2020-12-06 18:01:54.800965548,789
2020-12-06 18:01:59.916893959,826
2020-12-06 18:02:05.022025824,864
2020-12-06 18:02:10.120375156,892
2020-12-06 18:02:15.189170599,918
2020-12-06 18:02:20.286568642,938
2020-12-06 18:02:25.388219595,963
2020-12-06 18:02:30.503615141,1001
2020-12-06 18:02:35.571406841,1028
2020-12-06 18:02:40.666041374,1068
2020-12-06 18:02:45.747596741,1113
2020-12-06 18:02:50.820685625,1151
2020-12-06 18:02:55.892197371,1185
2020-12-06 18:03:00.970549822,1209
2020-12-06 18:03:06.118672132,1246
2020-12-06 18:03:11.204346180,1310
2020-12-06 18:03:16.290291786,1323
2020-12-06 18:03:21.417456865,1323
2020-12-06 18:03:26.492868900,1372
2020-12-06 18:03:31.580689192,1397
2020-12-06 18:03:36.669069052,1397
2020-12-06 18:03:41.751278400,1453
2020-12-06 18:03:46.819044590,1453
2020-12-06 18:03:51.900516510,1502
2020-12-06 18:03:56.977561235,1529
2020-12-06 18:04:02.050333023,1556
2020-12-06 18:04:07.137377024,1586
2020-12-06 18:04:12.214682341,1614
2020-12-06 18:04:17.293518543,1639
2020-12-06 18:04:22.375962496,1669
2020-12-06 18:04:27.447628498,1689
2020-12-06 18:04:32.569052458,1707
2020-12-06 18:04:37.653154373,1734
2020-12-06 18:04:42.762479305,1770
2020-12-06 18:04:47.832203865,1786
2020-12-06 18:04:52.907400608,1834
2020-12-06 18:04:57.996863365,1872
2020-12-06 18:05:03.068612576,1882
2020-12-06 18:05:08.147667170,1909
2020-12-06 18:05:13.228786707,1948
2020-12-06 18:05:18.542760611,1973
2020-12-06 18:05:23.636817932,2005
2020-12-06 18:05:28.727012396,2044
2020-12-06 18:05:33.861295462,2078
2020-12-06 18:05:38.968911409,2110
2020-12-06 18:05:44.085435867,2142
