timestamp,Эхо Москвы
2021-01-10 18:03:08.702999353,1279
2021-01-10 18:03:13.773059845,1094
2021-01-10 18:03:18.854020596,894
2021-01-10 18:03:23.970765352,839
2021-01-10 18:03:29.053561449,919
2021-01-10 18:03:44.254016161,1199
2021-01-10 18:03:49.544853449,1284
2021-01-10 18:03:54.622283220,1351
2021-01-10 18:03:59.695650816,1391
2021-01-10 18:04:04.776193619,1459
2021-01-10 18:04:14.939826965,1622
2021-01-10 18:04:20.014651537,1661
2021-01-10 18:04:25.086019754,1715
2021-01-10 18:04:35.195474386,1810
2021-01-10 18:04:40.266532898,1873
2021-01-10 18:04:45.341066122,1946
2021-01-10 18:04:50.406437397,1982
2021-01-10 18:04:55.521940947,2042
2021-01-10 18:05:05.633137465,2153
2021-01-10 18:05:10.709853411,2215
2021-01-10 18:05:15.786420584,2275
2021-01-10 18:05:20.882344484,2342
2021-01-10 18:05:25.962865114,2390
2021-01-10 18:05:31.034227848,2446
2021-01-10 18:05:36.146614075,2486
2021-01-10 18:05:41.226071596,2532
2021-01-10 18:05:46.329678774,2579
2021-01-10 18:05:56.478521585,2676
2021-01-10 18:06:01.557374954,2744
2021-01-10 18:06:06.627894878,2789
2021-01-10 18:06:26.896168232,2963
2021-01-10 18:06:31.965719223,3009
2021-01-10 18:06:37.038064241,3041
2021-01-10 18:06:42.111546516,3093
2021-01-10 18:06:47.183246374,3193
2021-01-10 18:06:57.338650942,3268
2021-01-10 18:07:02.429440737,3296
2021-01-10 18:07:22.644211292,3468
2021-01-10 18:07:27.711673260,3502
2021-01-10 18:07:32.834988117,3572
2021-01-10 18:07:37.910741806,3572
2021-01-10 18:07:42.986247540,3662
2021-01-10 18:07:48.067890406,3711
2021-01-10 18:07:53.180369854,3730
2021-01-10 18:07:58.266004801,3759
2021-01-10 18:08:08.392492771,3798
2021-01-10 18:08:13.498884678,3847
2021-01-10 18:08:18.582185507,3872
2021-01-10 18:08:23.653661489,3908
2021-01-10 18:08:38.858412504,3977
2021-01-10 18:08:48.978487015,4023
2021-01-10 18:08:54.064064502,4060
2021-01-10 18:09:04.184226513,4117
2021-01-10 18:09:14.303303957,4164
2021-01-10 18:09:19.379724741,4229
2021-01-10 18:09:29.523694515,4294
2021-01-10 18:09:39.633353949,4350
2021-01-10 18:09:44.719966173,4379
2021-01-10 18:09:54.873073816,4399
2021-01-10 18:10:05.010839224,4456
2021-01-10 18:10:10.092699051,4456
2021-01-10 18:10:15.168965816,4576
2021-01-10 18:10:20.246055365,4590
2021-01-10 18:10:25.329892635,4610
