timestamp,Навальный LIVE,Соловьёв LIVE,Телеканал Дождь,Эхо Москвы
2020-12-24 05:59:17.652093887,,170.0,,
2020-12-24 05:59:22.727488756,,224.0,,
2020-12-24 05:59:27.812532902,,415.0,,
2020-12-24 05:59:32.887730360,,443.0,,
2020-12-24 05:59:37.993483782,,499.0,,
2020-12-24 05:59:43.061027527,,573.0,,
2020-12-24 05:59:48.166438580,,626.0,,
2020-12-24 05:59:53.244230747,,666.0,,
2020-12-24 05:59:58.306766987,,700.0,,
2020-12-24 06:00:03.377051592,,748.0,,
2020-12-24 06:00:08.443868637,,790.0,,
2020-12-24 06:00:13.532718657,,825.0,,
2020-12-24 06:00:18.616816998,,852.0,,
2020-12-24 06:00:23.721674204,,887.0,,
2020-12-24 06:00:28.803672552,,911.0,,
2020-12-24 06:00:33.874708652,,940.0,,
2020-12-24 06:00:38.951376200,,967.0,,
2020-12-24 06:00:44.022167206,,992.0,,
2020-12-24 06:00:49.095013380,,1033.0,,
2020-12-24 06:00:54.163021326,,1089.0,,
2020-12-24 06:00:59.236667871,,1134.0,,
2020-12-24 06:01:04.336077452,,1171.0,,
2020-12-24 06:01:09.406289816,,1209.0,,
2020-12-24 06:01:14.513713360,,1252.0,,
2020-12-24 06:01:19.605438709,,1297.0,,
2020-12-24 06:01:24.712107420,,1335.0,,
2020-12-24 06:01:29.777338505,,1366.0,,
2020-12-24 06:01:34.893528223,,1408.0,,
2020-12-24 06:01:39.958824396,,1457.0,,
2020-12-24 06:01:45.042743921,,1500.0,,
2020-12-24 06:01:50.142551899,,1540.0,,
2020-12-24 06:01:55.254646539,,1581.0,,
2020-12-24 06:02:00.325571775,,1618.0,,
2020-12-24 06:02:05.395367146,,1654.0,,
2020-12-24 06:02:10.458121300,,1693.0,,
2020-12-24 06:02:20.616751909,,1784.0,,
2020-12-24 06:02:25.689932108,,1865.0,,
2020-12-24 06:02:30.759951591,,1895.0,,
2020-12-24 06:02:35.829888582,,1884.0,,
2020-12-24 06:02:40.900415421,,1911.0,,
2020-12-24 06:02:46.024837971,,1959.0,,
2020-12-24 06:02:51.082256079,,2000.0,,
2020-12-24 06:02:56.190032244,,2037.0,,
2020-12-24 06:03:01.308705091,,2081.0,,
2020-12-24 06:03:06.435675859,,2120.0,,
2020-12-24 06:03:11.558925152,,2158.0,,
2020-12-24 06:03:16.663694620,,2242.0,,
2020-12-24 06:03:21.772626638,,2242.0,,
2020-12-24 06:03:26.843118191,,2283.0,,
2020-12-24 06:03:31.947968960,,2338.0,,
2020-12-24 06:03:37.024182320,,2338.0,,
2020-12-24 06:03:42.127608061,,2378.0,,
2020-12-24 06:03:47.199711800,,2420.0,,
2020-12-24 06:03:57.344695330,,2542.0,,
2020-12-24 06:04:02.447848320,,2577.0,,
2020-12-24 06:04:12.557461023,,2604.0,,
2020-12-24 06:04:17.665681124,,2679.0,,
2020-12-24 06:04:22.743150234,,2717.0,,
2020-12-24 06:04:32.886824131,,2815.0,,
2020-12-24 06:04:37.954246521,,2855.0,,
2020-12-24 06:04:43.023242950,,2902.0,,
2020-12-24 06:04:48.088101864,,2953.0,,
2020-12-24 06:04:53.164968491,,3004.0,,
2020-12-24 06:04:58.273354530,,3053.0,,
2020-12-24 06:05:03.344083548,,3077.0,,
2020-12-24 06:05:08.462916374,,3117.0,,
2020-12-24 06:05:13.573804617,,3160.0,,
2020-12-24 06:05:18.676846504,,3223.0,,
2020-12-24 06:05:23.793864489,,3311.0,,
2020-12-24 06:05:28.870195389,,3361.0,,
2020-12-24 06:05:33.977949142,,3374.0,,
2020-12-24 06:05:44.127499818,,3450.0,,
2020-12-24 06:05:49.232250690,,3489.0,,
2020-12-24 06:05:54.356558084,,3542.0,,
2020-12-24 06:05:59.472423792,,3578.0,,
2020-12-24 06:06:04.541544914,,3614.0,,
2020-12-24 06:06:09.659288406,,3673.0,,
2020-12-24 06:06:14.775526762,,3735.0,,
2020-12-24 06:06:16.407779455,,,,583.0
2020-12-24 06:06:19.891375303,,3791.0,,
2020-12-24 06:06:21.521850108,,,,651.0
2020-12-24 06:06:24.962051868,,3856.0,,
